municipal status,CODE OF LOCALITY,hebrew,DISTRICT,INDEX POPULATION 2019[1],INDEX VALUE 2019[2],RANK 2019[3] ,CLUSTER 2019[4] ,RANK 2017[3] ,CLUSTER 2017[4] ,DIFFERENCE (CLUSTER 2019 MINUS CLUSTER 2017),namme of local authurity
0,31,אופקים,6,"30,662",-0.691,72,3,73,3,0,OFAQIM
0,634,כפר קאסם,4,"23,823",-0.680,73,3,62,3,0,KAFAR QASEM
0,7300,נצרת,2,"77,359",-0.666,74,3,75,3,0,NAZARETH
0,6000,באקה אל-גרביה,3,"29,916",-0.642,75,4,74,3,1,BAQA AL-GHARBIYYE
99,3574,בית אל,7,"5,973",-0.637,76,4,80,3,1,BET EL
0,7500,סח'נין,2,"31,642",-0.614,77,4,71,3,1,SAKHNIN
99,492,דייר חנא,2,"10,339",-0.612,78,4,70,3,1,DEIR HANNA
0,1034,קריית מלאכי,6,"23,726",-0.606,79,4,81,4,0,QIRYAT MAL'AKHI
99,490,דייר אל-אסד,2,"12,514",-0.601,80,4,78,3,1,DEIR AL-ASAD
0,6700,טבריה,2,"44,315",-0.582,81,4,89,4,0,TIBERIAS
0,7000,לוד,4,"76,883",-0.563,82,4,84,4,0,LOD
99,525,סאג'ור,2,"4,270",-0.550,83,4,85,4,0,SAJUR
99,633,כפר ברא,4,"3,678",-0.543,84,4,77,3,1,KAFAR BARA
99,3608,מעלה אפרים,7,"1,260",-0.534,85,4,106,4,0,MA'ALE EFRAYIM
99,489,דבורייה,2,"10,510",-0.520,86,4,79,3,1,DABURIYYA
99,831,ירוחם,6,"10,294",-0.504,87,4,91,4,0,YEROHAM
99,517,מזרעה,2,"3,929",-0.487,88,4,87,4,0,MAZRA'A
99,2034,חצור הגלילית,2,"9,262",-0.483,89,4,92,4,0,HAZOR HAGELILIT
99,1290,זמר,4,"7,094",-0.476,90,4,82,4,0,ZEMER
99,505,כאוכב אבו אל-היג'א,2,"3,589",-0.473,91,4,86,4,0,KAOKAB ABU AL-HIJA
0,2630,קריית גת,6,"56,805",-0.464,92,4,95,4,0,QIRYAT GAT
99,480,בית ג'ן,2,"12,001",-0.464,93,4,83,4,0,BEIT JANN
0,7600,עכו,2,"49,048",-0.458,94,4,94,4,0,AKKO
99,1295,יאנוח-ג'ת,2,"6,679",-0.392,95,5,88,4,1,YANUH-JAT
0,2720,טירה,4,"26,463",-0.349,96,5,93,4,1,TIRE
99,496,חורפיש,2,"6,410",-0.344,97,5,96,4,1,HURFEISH
0,8500,רמלה,4,"74,482",-0.318,98,5,99,4,1,RAMLA
0,874,מגדל העמק,2,"25,532",-0.316,99,5,104,4,1,MIGDAL HAEMEQ
0,2200,דימונה,6,"34,279",-0.312,100,5,102,4,1,DIMONA
99,534,עספיא,3,"12,503",-0.287,101,5,97,4,1,ISIFYA
0,9200,בית שאן,2,"18,388",-0.283,102,5,105,4,1,BET SHE'AN
99,494,דאלית אל-כרמל,3,"17,653",-0.280,103,5,100,4,1,DALIYAT AL-KARMEL
0,7700,עפולה,2,"53,959",-0.213,104,5,114,5,0,AFULA
99,654,כפר קרע,3,"18,964",-0.211,105,5,101,4,1,KAFAR QARA
99,485,ג'ולס,2,"6,442",-0.203,106,5,98,4,1,JULIS
99,3730,גבעת זאב,7,"18,420",-0.195,107,5,115,5,0,GIV'AT ZE'EV
0,70,אשדוד,6,"225,084",-0.187,108,5,112,4,1,ASHDOD
0,1061,נוף הגליל,2,"41,612",-0.166,109,5,120,5,0,NOF HAGALIL
99,4100,קצרין,2,"7,297",-0.166,110,5,107,4,1,QAZRIN
0,9600,קריית ים,3,"39,716",-0.148,111,5,128,5,0,QIRYAT YAM
0,6200,בת ים,5,"128,600",-0.132,112,5,122,5,0,BAT YAM
0,1031,שדרות,6,"27,598",-0.127,113,5,109,4,1,SEDEROT
99,543,ראמה,2,"7,728",-0.109,114,5,103,4,1,RAME
0,2800,קריית שמונה,2,"22,481",-0.086,115,5,119,5,0,QIRYAT SHEMONA
8,,הגלבוע,2,"30,206",-0.081,116,5,121,5,0,HAGILBO'A
99,507,כפר יאסיף,2,"10,005",-0.079,117,5,108,4,1,KAFAR YASIF
99,536,פקיעין (בוקייעה),2,"5,893",-0.077,118,5,110,4,1,PEQI'IN (BUQEI'A)
0,7100,אשקלון,6,"143,578",-0.076,119,5,125,5,0,ASHQELON
31,,נחל שורק,4,"9,746",-0.067,120,5,116,5,0,NAHAL SOREQ
99,628,ג'ת,3,"12,100",-0.066,121,5,111,4,1,JATT
78,,הר חברון,7,"9,234",-0.043,122,5,124,5,0,HAR HEVRON
99,530,עיילבון,2,"5,692",-0.042,123,5,117,5,0,EILABUN
0,1063,מעלות-תרשיחא,2,"21,772",-0.037,124,5,131,5,0,MA'ALOT-TARSHIHA
73,,מטה בנימין,7,"69,290",-0.030,125,5,126,5,0,MATTE BINYAMIN
0,1020,אור עקיבא,3,"18,798",-0.022,126,5,127,5,0,OR AQIVA
99,3557,קדומים,7,"4,544",-0.014,127,5,135,5,0,QEDUMIM
0,9000,באר שבע,6,"207,672",-0.009,128,5,130,5,0,BE'ER SHEVA
99,1247,חריש,3,"13,232",-0.004,129,5,129,5,0,HARISH
29,,חבל יבנה,4,"6,957",-0.001,130,5,118,5,0,HEVEL YAVNE
53,,חבל אילות,6,"4,410",0.000,131,5,132,5,0,HEVEL ELOT
34,,שפיר,6,"11,203",0.007,132,5,113,5,0,SHAFIR
2,,מרום הגליל,2,"14,663",0.011,133,5,133,5,0,MEROM HAGALIL
0,2100,טירת כרמל,3,"23,011",0.014,134,5,123,5,0,TIRAT KARMEL
12,,זבולון,3,"13,029",0.029,135,5,134,5,0,ZEVULUN
99,1066,"בני עי""ש",4,"6,978",0.051,136,5,138,5,0,BENE AYISH
0,2400,אור יהודה,5,"36,699",0.072,137,5,136,5,0,OR YEHUDA
99,469,קריית עקרון,4,"11,001",0.112,138,6,139,5,1,QIRYAT EQRON
0,7400,נתניה,4,"220,614",0.119,139,6,142,6,0,NETANYA
99,65,מגדל,2,"1,834",0.125,140,6,137,5,1,MIGDAL
0,1139,כרמיאל,2,"46,173",0.134,141,6,154,6,0,KARMI'EL
0,6800,קריית אתא,3,"58,592",0.154,142,6,146,6,0,QIRYAT ATTA
99,812,שלומי,2,"6,441",0.163,143,6,141,5,1,SHELOMI
76,,גוש עציון,7,"24,352",0.173,144,6,147,6,0,GUSH EZYON
39,,שדות נגב,6,"10,777",0.183,145,6,140,5,1,SEDOT NEGEV
40,,עמק לוד,4,"15,508",0.219,146,6,149,6,0,EMEQ LOD
99,3640,קרני שומרון,7,"8,135",0.223,147,6,151,6,0,QARNE SHOMERON
71,,גולן,2,"17,979",0.224,148,6,145,6,0,GOLAN
0,2600,אילת,6,"52,285",0.230,149,6,148,6,0,ELAT
0,6500,חדרה,3,"96,559",0.240,150,6,150,6,0,HADERA
0,3570,אריאל,7,"20,536",0.241,151,6,158,6,0,ARI'EL
0,9100,נהרייה,2,"58,003",0.249,152,6,156,6,0,NAHARIYYA
99,535,פסוטה,2,"3,172",0.275,153,6,155,6,0,FASSUTA
42,,מרחבים,6,"14,016",0.275,154,6,143,6,0,MERHAVIM
7,,עמק המעיינות,2,"13,464",0.278,155,6,152,6,0,EMEQ HAMA'AYANOT
72,,שומרון,7,"45,789",0.287,156,6,153,6,0,SHOMERON
99,508,כפר כמא,2,"3,373",0.296,157,6,144,6,0,KAFAR KAMA
48,,רמת נגב,6,"7,551",0.315,158,6,160,6,0,RAMAT NEGEV
0,3616,מעלה אדומים,7,"38,041",0.327,159,6,157,6,0,MA'ALE ADUMMIM
38,,אשכול,6,"14,380",0.337,160,6,159,6,0,ESHKOL
75,,ערבות הירדן,7,"5,416",0.356,161,6,164,6,0,ARVOT HAYARDEN
0,9500,קריית ביאליק,3,"40,193",0.392,162,6,166,7,-1,QIRYAT BIALIK
99,41,אליכין,4,"3,415",0.429,163,7,162,6,1,ELYAKHIN
6,,עמק הירדן,2,"13,821",0.434,164,7,163,6,1,EMEQ HAYARDEN
0,4000,חיפה,3,"283,767",0.437,165,7,169,7,0,HAIFA
0,6600,חולון,5,"196,026",0.446,166,7,165,7,0,HOLON
0,8200,קריית מוצקין,3,"43,303",0.450,167,7,176,7,0,QIRYAT MOTZKIN
99,487,ג'ש (גוש חלב),2,"3,105",0.466,168,7,161,6,1,JISH(GUSH HALAV)
13,,מגידו,2,"11,833",0.493,169,7,170,7,0,MEGIDDO
0,2660,יבנה,4,"47,585",0.536,170,7,168,7,0,YAVNE
99,3650,אפרת,7,"10,806",0.539,171,7,171,7,0,EFRAT
3,,הגליל התחתון,2,"12,466",0.544,172,7,173,7,0,HAGALIL HATAHTON
4,,מטה אשר,2,"29,524",0.556,173,7,178,7,0,MATTE ASHER
99,565,אזור,5,"12,812",0.587,174,7,177,7,0,AZOR
99,466,בית דגן,4,"7,285",0.591,175,7,179,7,0,BET DAGAN
1,,הגליל העליון,2,"18,481",0.596,176,7,174,7,0,HAGALIL HAELYON
50,,לכיש,6,"12,719",0.598,177,7,172,7,0,LAKHISH
0,7900,פתח תקווה,4,"246,529",0.608,178,7,181,7,0,PETAH TIQWA
56,,משגב,2,"28,926",0.613,179,7,189,7,0,MISGAV
99,26,ראש פינה,2,"3,148",0.624,180,7,183,7,0,ROSH PINNA
14,,מנשה,3,"20,121",0.635,181,7,175,7,0,MENASHE
0,2500,נשר,3,"24,148",0.638,182,7,186,7,0,NESHER
0,8400,רחובות,4,"143,597",0.658,183,7,182,7,0,REHOVOT
51,,תמר,6,"1,556",0.660,184,7,167,7,0,TAMAR
36,,חוף אשקלון,6,"17,901",0.669,185,7,180,7,0,HOF ASHQELON
52,,מעלה יוסף,2,"10,733",0.695,186,7,194,7,0,MA'ALE YOSEF
74,,מגילות ים המלח,7,"1,799",0.731,187,7,188,7,0,MEGILLOT DEAD SEA
99,7800,פרדס חנה-כרכור,3,"42,614",0.743,188,7,184,7,0,PARDES HANNA-KARKUR
99,2550,גדרה,4,"27,782",0.747,189,7,190,7,0,GEDERA
